sample_id,read_summary,reads,fast5,fastq_directory
SAMN28789430,,,,/gpfs/data/cbc/pcao5/workflow_prototypes_on_OSCAR/data/SRR19309654/
SAMN28789428,,,,/gpfs/data/cbc/pcao5/workflow_prototypes_on_OSCAR/data/SRR19309656/
